year,title,artist,price,techniques,Unframed Dimensions,Unframed Dimensions (inch),tags,support,encadrement,image_filename
2023,Dawn dream stretched,Nadin Antoniuk,1 600 €,acrylique,100 x 80 x 2 cm,39.4 x 31.5 x 0.8 inch,"Abstrait, Cercle, Expressionnisme abstrait, jaune, bleu foncé, Artistes paysagistes semi-abstraits, Impressionnisme, Artistes Peintres, Artistes Espagnols",Peinture sur toile sur chassis,Non encadrée,Dawn dream stretched_Nadin Antoniuk_2023.jpg
2023,Dawn dream stretched,Nadin Antoniuk,1 600 €,acrylique,100 x 80 x 2 cm,39.4 x 31.5 x 0.8 inch,"Abstrait, Cercle, Expressionnisme abstrait, jaune, bleu foncé, Artistes paysagistes semi-abstraits, Impressionnisme, Artistes Peintres, Artistes Espagnols",Peinture sur toile sur chassis,Non encadrée,Dawn dream stretched_Nadin Antoniuk_2023.jpg
2024,Drifting,tizlu,1 440 €,"peinture aérosol, feutres, plâtre",50 x 35 x 2.2 cm,19.7 x 13.8 x 0.9 inch,"Street art, Portrait, Oeuvres d'art Pop art, Art urbain, Garçon, Graffiti, Plongeur, Blanc, noir, Street-artistes figuratifs, Pop culture Street-artistes, Artistes Sculpteurs, Artistes Peintres, Artistes en éditions, Artistes Dessinateurs, Artistes Allemands",Peinture sur toile sur chassis,Non encadrée,Drifting_tizlu_2024.jpg
2024,Drifting,tizlu,1 440 €,"peinture aérosol, feutres, plâtre",50 x 35 x 2.2 cm,19.7 x 13.8 x 0.9 inch,"Street art, Portrait, Oeuvres d'art Pop art, Art urbain, Garçon, Graffiti, Plongeur, Blanc, noir, Street-artistes figuratifs, Pop culture Street-artistes, Artistes Sculpteurs, Artistes Peintres, Artistes en éditions, Artistes Dessinateurs, Artistes Allemands",Peinture sur toile sur chassis,Non encadrée,Drifting_tizlu_2024.jpg
2024,Under the Shade of Trees,Ilia Filatov,1 145 €,huile,60 x 80 x 2 cm,23.6 x 31.5 x 0.8 inch,"Scène de vie, Oeuvres d'art Pop art, Jardin, Œuvres d'art couleurs, dos, Été, Femmes, Arbres, vert, Néo-expressionnisme, Artistes Peintres, Artistes Russes",Peinture sur toile sur chassis,Non encadrée,Under the Shade of Trees_Ilia Filatov_2024.jpg
2024,Under the Shade of Trees,Ilia Filatov,1 145 €,huile,60 x 80 x 2 cm,23.6 x 31.5 x 0.8 inch,"Scène de vie, Oeuvres d'art Pop art, Jardin, Œuvres d'art couleurs, dos, Été, Femmes, Arbres, vert, Néo-expressionnisme, Artistes Peintres, Artistes Russes",Peinture sur toile sur chassis,Non encadrée,Under the Shade of Trees_Ilia Filatov_2024.jpg
2024,Untitled Red,JonOne,1 950 €,peinture aérosol,40 x 29.5 x 5 cm,15.7 x 11.6 x 2 inch,"Abstrait, Street art, Art abstrait, Art urbain, Calligraphie, Graffiti, multicolore, orange, Rouge, Street Artistes célèbres, Artistes interculturels, Graffiti, Icônes américaines, Artistes Sculpteurs, Artistes Peintres, Artistes en éditions, Artistes Dessinateurs, Designers, Artistes Américains",Not Found,Non encadrée,Untitled Red_JonOne_2024.jpg
2024,Untitled Red,JonOne,1 950 €,peinture aérosol,40 x 29.5 x 5 cm,15.7 x 11.6 x 2 inch,"Abstrait, Street art, Art abstrait, Art urbain, Calligraphie, Graffiti, multicolore, orange, Rouge, Street Artistes célèbres, Artistes interculturels, Graffiti, Icônes américaines, Artistes Sculpteurs, Artistes Peintres, Artistes en éditions, Artistes Dessinateurs, Designers, Artistes Américains",Not Found,Non encadrée,Untitled Red_JonOne_2024.jpg
2024,Le soleil est,ti,1 900 €,acrylique,100 x 80 x 2 cm,39.4 x 31.5 x 0.8 inch,"Abstrait, Art abstrait, rose, Abstraction gestuelle, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Le soleil est_ti_2024.jpg
2024,Le soleil est,ti,1 900 €,acrylique,100 x 80 x 2 cm,39.4 x 31.5 x 0.8 inch,"Abstrait, Art abstrait, rose, Abstraction gestuelle, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Le soleil est_ti_2024.jpg
2023,Monotype N2  Playa,Aurélie Trabaud,1 260 €,acrylique,50 x 50 x 0.6 cm,19.7 x 19.7 x 0.2 inch,"Abstrait, Paysage marin, Œuvres d'art couleurs, Océan, Plage, Semi-abstrait, Beige, bleu foncé, Figurations foisonnantes et colorées, Die Brücke, Post-Impressionnisme, Artistes Sculpteurs, Artistes Peintres, Artistes Photographes, Artistes en éditions, Artistes Dessinateurs, Designers, Artistes Français",Not Found,Cadre avec vitre en verre blanc,Monotype N2  Playa_Aurélie Trabaud_2023.jpg
2023,Monotype N2  Playa,Aurélie Trabaud,1 260 €,acrylique,50 x 50 x 0.6 cm,19.7 x 19.7 x 0.2 inch,"Abstrait, Paysage marin, Œuvres d'art couleurs, Océan, Plage, Semi-abstrait, Beige, bleu foncé, Figurations foisonnantes et colorées, Die Brücke, Post-Impressionnisme, Artistes Sculpteurs, Artistes Peintres, Artistes Photographes, Artistes en éditions, Artistes Dessinateurs, Designers, Artistes Français",Not Found,Cadre avec vitre en verre blanc,Monotype N2  Playa_Aurélie Trabaud_2023.jpg
2024,Dancing in the sun,Jean-Philippe Berger,350 €,acrylique,61 x 50 x 1.5 cm,24 x 19.7 x 0.6 inch,"Scène de vie, Œuvres d'art couleurs, Mer, Personnage, jaune, bleu ciel, Artistes Sculpteurs, Artistes Peintres, Designers, Artistes Français",Peinture sur toile sur chassis,Cadre noir,Dancing in the sun_Jean-Philippe Berger_2024.jpg
